144# Number of sensors
#x	z
62	78	71	54	-1.92	0.0352083
62	78	54	70	1.62	0.0361728
62	78	70	53	-1.38	0.0372464
61	77	60	76	87.35	0.0301145
61	77	76	59	-63.74	0.0301569
61	77	59	75	36	0.0302778
61	77	75	58	-27.45	0.0303643
61	77	58	74	18.57	0.0305385
61	77	74	57	-14.65	0.0306826
61	77	57	73	10.6	0.0309434
61	77	73	56	-8.4	0.0311905
61	77	56	72	5.88	0.0317007
61	77	72	55	-4.81	0.032079
61	77	55	71	3.86	0.0325907
61	77	71	54	-3.21	0.0331153
61	77	54	70	2.64	0.0337879
61	77	70	53	-2.24	0.0344643
61	77	53	69	1.88	0.0353191
61	77	69	52	-1.64	0.0360976
60	76	59	75	89.17	0.0301121
60	76	75	58	-65.58	0.0301525
60	76	58	74	36.97	0.0302705
60	76	74	57	-28.41	0.030352
60	76	57	73	19.05	0.0305249
60	76	73	56	-14.81	0.0306752
60	76	56	72	10.93	0.0309149
60	76	72	55	-8.85	0.0311299
60	76	55	71	6.21	0.0316103
60	76	71	54	-5.1	0.0319608
60	76	54	70	4.08	0.032451
60	76	70	53	-3.43	0.0329155
60	76	53	69	2.81	0.0335587
60	76	69	52	-2.45	0.0340816
60	76	52	68	2.11	0.0347393
60	76	68	51	-1.82	0.0354945
59	75	58	74	91.55	0.0301092
59	75	74	57	-67.42	0.0301483
59	75	57	73	37.69	0.0302653
59	75	73	56	-28.31	0.0303532
59	75	56	72	19.41	0.0305152
59	75	72	55	-15.44	0.0306477
59	75	55	71	11.55	0.0308658
59	75	71	54	-9.32	0.031073
59	75	54	70	6.52	0.0315337
59	75	70	53	-5.42	0.031845
59	75	53	69	4.31	0.0323202
59	75	69	52	-3.72	0.0326882
59	75	52	68	3.14	0.0331847
59	75	68	51	-2.69	0.0337175
59	75	51	67	2.34	0.0342735
59	75	67	50	-2.16	0.0346296
58	74	57	73	90.87	0.03011
58	74	73	56	-64.84	0.0301542
58	74	56	72	37.29	0.0302682
58	74	72	55	-29.13	0.0303433
58	74	55	71	20.38	0.0304907
58	74	71	54	-15.96	0.0306266
58	74	54	70	11.82	0.030846
58	74	70	53	-9.62	0.0310395
58	74	53	69	6.66	0.0315015
58	74	69	52	-5.65	0.0317699
58	74	52	68	4.65	0.0321505
58	74	68	51	-3.93	0.0325445
58	74	51	67	3.36	0.0329762
58	74	67	50	-3.09	0.0332362
58	74	50	66	2.82	0.0335461
58	74	66	49	-2.63	0.0338023
57	73	56	72	91.05	0.0301098
57	73	72	55	-70.51	0.0301418
57	73	55	71	41.4	0.0302415
57	73	71	54	-31.04	0.0303222
57	73	54	70	21.13	0.0304733
57	73	70	53	-16.74	0.0305974
57	73	53	69	12.22	0.0308183
57	73	69	52	-10.18	0.0309823
57	73	52	68	7.31	0.031368
57	73	68	51	-6.04	0.0316556
57	73	51	67	5.04	0.0319841
57	73	67	50	-4.58	0.0321834
57	73	50	66	4.11	0.0324331
57	73	66	49	-3.82	0.0326178
57	73	49	65	3.65	0.0327397
56	72	55	71	94.85	0.0301054
56	72	71	54	-72.37	0.0301382
56	72	54	70	40.02	0.0302499
56	72	70	53	-31.38	0.0303187
56	72	53	69	20.6	0.0304854
56	72	69	52	-17.19	0.0305817
56	72	52	68	13.05	0.0307663
56	72	68	51	-10.62	0.0309416
56	72	51	67	7.64	0.0313089
56	72	67	50	-6.87	0.0314556
56	72	50	66	6.04	0.0316556
56	72	66	49	-5.57	0.0317953
56	72	49	65	5.27	0.0318975
55	71	54	70	105.58	0.0300947
55	71	70	53	-76.28	0.0301311
55	71	53	69	42.62	0.0302346
55	71	69	52	-33.11	0.030302
55	71	52	68	23.51	0.0304254
55	71	68	51	-18.25	0.0305479
55	71	51	67	14.15	0.0307067
55	71	67	50	-12.45	0.0308032
55	71	50	66	9.55	0.0310471
55	71	66	49	-8.68	0.0311521
55	71	49	65	8.13	0.03123
54	70	53	69	107.88	0.0300927
54	70	69	52	-79.43	0.0301259
54	70	52	68	46.8	0.0302137
54	70	68	51	-34.6	0.030289
54	70	51	67	24.74	0.0304042
54	70	67	50	-21.27	0.0304701
54	70	50	66	17.48	0.0305721
54	70	66	49	-15.84	0.0306313
54	70	49	65	12.86	0.0307776
53	69	52	68	120.61	0.0300829
53	69	68	51	-83.55	0.0301197
53	69	51	67	48.15	0.0302077
53	69	67	50	-40.14	0.0302491
53	69	50	66	30.48	0.0303281
53	69	66	49	-26.86	0.0303723
53	69	49	65	24	0.0304167
52	68	51	67	112.04	0.0300893
52	68	67	50	-89.31	0.030112
52	68	50	66	55.94	0.0301788
52	68	66	49	-48.1	0.0302079
52	68	49	65	40.9	0.0302445
80	96	79	95	38.26	0.0302614
80	96	95	78	-28.26	0.0303539
80	96	78	94	15.38	0.0306502
80	96	94	77	-11.66	0.0308576
80	96	77	93	7.35	0.0313605
80	96	93	76	-5.96	0.0316779
80	96	76	92	4.08	0.032451
80	96	92	75	-3.38	0.0329586
80	96	75	91	2.43	0.0341152
