50# Number of sensors
#x	y	z
16	27	49	38	2.129	-10.04	0.0204608	191.377	407.441
17	28	50	39	2.25	-10.81	0.0204352	191.099	429.973
1	13	37	25	2.249	-13.64	0.0204415	237.737	534.672
2	14	38	26	2.329	-13.2	0.0204264	231.108	538.25
3	15	39	27	2.407	-11.45	0.0204136	227.978	548.743
4	16	40	28	2.417	-9.26	0.0204105	225.972	546.175
5	17	41	29	2.312	-10.21	0.0204272	225.322	520.945
6	18	42	30	2.172	-10.37	0.0204507	221.427	480.939
7	19	43	31	2.124	-9.63	0.0204653	218.421	463.925
8	20	44	32	2.039	-10.53	0.0204883	217.429	443.337
9	21	45	33	1.984	-9.66	0.0205013	219.063	434.62
10	22	46	34	1.984	-10.23	0.0205061	217.198	430.92
11	23	47	35	1.916	-10.05	0.0205176	208.463	399.416
12	24	48	36	1.901	-9.69	0.0205288	203.133	386.156
13	25	49	37	1.884	-9.31	0.020526	203.533	383.456
14	26	50	38	1.922	-10	0.0205147	206.244	396.4
1	14	40	27	2.282	-13.17	0.0204363	248.951	568.107
2	15	41	28	2.277	-11.73	0.020438	247.587	563.755
3	16	42	29	2.236	-11.07	0.0204411	243.914	545.391
4	17	43	30	2.103	-9.63	0.020473	240.204	505.15
5	18	44	31	1.979	-9.97	0.020497	238.065	471.131
6	19	45	32	1.921	-10.87	0.0205152	232.022	445.714
7	20	46	33	1.899	-10.28	0.0205271	230.3	437.34
8	21	47	34	1.836	-9.83	0.0205485	234.131	429.865
9	22	48	35	1.813	-10.54	0.0205513	231.905	420.443
10	23	49	36	1.744	-10.95	0.0205814	224.553	391.621
11	24	50	37	1.748	-11.67	0.0205675	220.749	385.869
1	15	43	29	2.085	-10.79	0.0204737	266.703	556.076
2	16	44	30	2.021	-10.84	0.0204907	259.916	525.291
3	17	45	31	1.915	-11.19	0.0205184	256.644	491.472
4	18	46	32	1.85	-8.99	0.0205336	250.148	462.774
5	19	47	33	1.811	-10.65	0.020554	244.885	443.487
6	20	48	34	1.732	-10.45	0.0205828	246.276	426.55
7	21	49	35	1.691	-10.64	0.0205931	248.223	419.746
8	22	50	36	1.689	-10.84	0.0206075	246.983	417.155
1	16	46	31	1.837	-10.72	0.0205376	276.929	508.718
2	17	47	32	1.782	-10.25	0.0205568	269.624	480.47
3	18	48	33	1.738	-4.89	0.0205747	263.331	457.669
4	19	49	34	1.698	-9.14	0.0205942	259.391	440.446
5	20	50	35	1.625	-10.4	0.0206169	259.268	421.311
1	17	49	33	1.678	-10.2	0.0205977	283.287	475.355
2	18	50	34	1.644	-9.17	0.0206083	277.611	456.392
1	4	2	3	268.474	-7.48	0.0200035	6.22047	1670.03
2	5	3	4	253.647	-6.7	0.0200038	6.36444	1614.32
3	6	4	5	232.147	-6.97	0.020004	6.22273	1444.59
4	7	5	6	189.286	-5.8	0.0200049	6.2405	1181.24
5	8	6	7	124.084	-8.47	0.0200072	6.47375	803.289
6	9	7	8	199.77	-7.78	0.0200047	6.16209	1231
7	10	8	9	197.351	-5.53	0.0200048	6.31557	1246.38
8	11	9	10	254.637	-8.06	0.0200039	6.36299	1620.25
9	12	10	11	251.083	-6.54	0.0200041	6.26265	1572.45
10	13	11	12	286.757	-7.39	0.0200036	6.36241	1824.47
11	14	12	13	236.06	-6.07	0.0200042	6.41176	1513.56
12	15	13	14	304.196	-7.34	0.0200035	6.13026	1864.8
13	16	14	15	243.891	-7.07	0.0200042	6.56574	1601.32
14	17	15	16	306.276	-8.07	0.0200033	6.12866	1877.06
15	18	16	17	292.427	-7.72	0.0200039	6.39002	1868.62
16	19	17	18	303.994	-7.73	0.0200035	6.36016	1933.45
17	20	18	19	315.426	-7.09	0.0200036	6.037	1904.23
18	21	19	20	287.069	-7.59	0.0200039	6.27517	1801.41
19	22	20	21	242.091	-6.91	0.0200046	6.49955	1573.48
20	23	21	22	282.944	-7.73	0.020004	6.36039	1799.63
21	24	22	23	201.61	-7.18	0.0200056	6.15538	1240.99
